,Home Team,Away Team,Day,Matchweek,Competition,Season,Prediction
0,Manchester United,FC Southampton,Sa.,25,Premier League,2021-2022,H
1,FC Brentford,Crystal Palace,Sa.,25,Premier League,2021-2022,A
2,FC Everton,Leeds United,Sa.,25,Premier League,2021-2022,A
3,FC Watford,Brighton & Hove Albion,Sa.,25,Premier League,2021-2022,A
4,Norwich City,Manchester City,Sa.,25,Premier League,2021-2022,A
5,FC Burnley,FC Liverpool,So.,25,Premier League,2021-2022,A
6,Newcastle United,Aston Villa,So.,25,Premier League,2021-2022,H
7,Tottenham Hotspur,Wolverhampton Wanderers,So.,25,Premier League,2021-2022,H
8,Leicester City,West Ham United,So.,25,Premier League,2021-2022,A
9,Rasenballsport Leipzig,1. FC Köln,Fr.,22,Bundesliga,2021-2022,H
10,Borussia Mönchengladbach,FC Augsburg,Sa.,22,Bundesliga,2021-2022,H
11,VfL Bochum,FC Bayern München,Sa.,22,Bundesliga,2021-2022,A
12,Eintracht Frankfurt,VfL Wolfsburg,Sa.,22,Bundesliga,2021-2022,H
13,SC Freiburg,1. FSV Mainz 05,Sa.,22,Bundesliga,2021-2022,H
14,SpVgg Greuther Fürth,Hertha BSC,Sa.,22,Bundesliga,2021-2022,H
15,Bayer 04 Leverkusen,VfB Stuttgart,Sa.,22,Bundesliga,2021-2022,H
16,1. FC Union Berlin,Borussia Dortmund,So.,22,Bundesliga,2021-2022,A
17,TSG 1899 Hoffenheim,Arminia Bielefeld,So.,22,Bundesliga,2021-2022,H
18,FC Sevilla,FC Elche,Fr.,24,La Liga,2021-2022,H
19,Villarreal CF,Real Madrid,Sa.,24,La Liga,2021-2022,A
20,Rayo Vallecano,CA Osasuna,Sa.,24,La Liga,2021-2022,H
21,Atletico Madrid,FC Getafe,Sa.,24,La Liga,2021-2022,H
22,RCD Espanyol Barcelona,FC Barcelona,So.,24,La Liga,2021-2022,A
23,Paris Saint-Germain,Stade Rennes,Fr.,24,Ligue 1,2021-2022,H
24,HSC Montpellier,LOSC Lille,Sa.,24,Ligue 1,2021-2022,H
25,Olympique Lyon,OGC Nizza,Sa.,24,Ligue 1,2021-2022,H
26,AS Monaco,FC Lorient,So.,24,Ligue 1,2021-2022,H
27,SCO Angers,Racing Strasbourg,So.,24,Ligue 1,2021-2022,A
28,Clermont Foot,AS Saint-Étienne,So.,24,Ligue 1,2021-2022,A
29,FC Nantes,Stade Reims,So.,24,Ligue 1,2021-2022,H
30,Stade Brest,ES Troyes AC,So.,24,Ligue 1,2021-2022,A
31,FC Metz,Olympique Marseille,So.,24,Ligue 1,2021-2022,A
32,Lazio Rom,FC Bologna,Sa.,25,Serie A,2021-2022,H
33,SSC Neapel,Inter Mailand,Sa.,25,Serie A,2021-2022,H
34,FC Turin,FC Venedig,Sa.,25,Serie A,2021-2022,H
35,AC Mailand,Sampdoria Genua,So.,25,Serie A,2021-2022,H
36,FC Empoli,Cagliari Calcio,So.,25,Serie A,2021-2022,H
37,CFC Genua,US Salernitana,So.,25,Serie A,2021-2022,H
38,Hellas Verona,Udinese Calcio,So.,25,Serie A,2021-2022,H
39,US Sassuolo Calcio,AS Rom,So.,25,Serie A,2021-2022,H
40,Atalanta Bergamo,Juventus Turin,So.,25,Serie A,2021-2022,H
41,Spezia Calcio,AC Florenz,Mo.,25,Serie A,2021-2022,H
