,Home Team,Away Team,Day,Matchweek,Competition,Season,Home Odds,Deuce Odds,Away Odds,lrc,lrc_a,lrc_d,lrc_h,rfc,rfc_a,rfc_d,rfc_h,mlp,mlp_a,mlp_d,mlp_h,knc,knc_a,knc_d,knc_h
38,Inter Mailand,US Salernitana,Fr.,27,Serie A,2021-2022,1.14,7.5,19.0,H,0.02,0.08,0.9,H,0.09,0.12,0.79,H,0.08,0.17,0.75,H,0.12,0.12,0.77
39,Udinese Calcio,Sampdoria Genua,Sa.,27,Serie A,2021-2022,1.9,3.4,4.33,H,0.23,0.21,0.56,H,0.16,0.23,0.61,H,0.22,0.26,0.52,H,0.21,0.21,0.58
40,AS Rom,Atalanta Bergamo,Sa.,27,Serie A,2021-2022,2.54,3.4,2.7,A,0.46,0.25,0.29,D,0.28,0.36,0.35,A,0.5,0.28,0.22,H,0.27,0.25,0.48
41,Cagliari Calcio,Lazio Rom,Sa.,27,Serie A,2021-2022,3.6,3.2,2.1,A,0.43,0.27,0.3,A,0.35,0.29,0.35,A,0.52,0.28,0.2,A,0.41,0.26,0.33
42,CFC Genua,FC Empoli,So.,27,Serie A,2021-2022,2.5,3.2,2.87,A,0.38,0.31,0.31,H,0.32,0.29,0.39,A,0.4,0.29,0.31,A,0.39,0.27,0.34
43,FC Bologna,FC Turin,So.,27,Serie A,2021-2022,2.8,3.2,2.5,A,0.39,0.28,0.33,H,0.35,0.28,0.37,A,0.45,0.29,0.26,H,0.35,0.25,0.4
44,AC Florenz,Hellas Verona,So.,27,Serie A,2021-2022,1.95,3.5,3.6,H,0.32,0.23,0.45,H,0.27,0.3,0.43,H,0.34,0.29,0.38,H,0.27,0.27,0.46
45,FC Venedig,US Sassuolo Calcio,So.,27,Serie A,2021-2022,3.25,3.4,2.2,A,0.44,0.25,0.31,H,0.29,0.28,0.43,A,0.37,0.29,0.34,H,0.3,0.26,0.43
46,Juventus Turin,Spezia Calcio,So.,27,Serie A,2021-2022,1.22,6.25,13.0,H,0.07,0.11,0.83,H,0.14,0.2,0.66,H,0.08,0.17,0.75,H,0.16,0.29,0.54
47,SSC Neapel,AC Mailand,So.,27,Serie A,2021-2022,2.04,3.3,3.6,A,0.44,0.22,0.34,H,0.28,0.28,0.45,A,0.4,0.29,0.31,H,0.35,0.24,0.41
