,Home Team,Away Team,Day,Matchweek,Competition,Season,Home Odds,Deuce Odds,Away Odds,Home Coach,Away Coach,lrc,lrc_proba_a,lrc_proba_d,lrc_proba_h,lrc_odds_a,lrc_odds_d,lrc_odds_h,rfc,rfc_proba_a,rfc_proba_d,rfc_proba_h,rfc_odds_a,rfc_odds_d,rfc_odds_h,mlp,mlp_proba_a,mlp_proba_d,mlp_proba_h,mlp_odds_a,mlp_odds_d,mlp_odds_h,knc,knc_proba_a,knc_proba_d,knc_proba_h,knc_odds_a,knc_odds_d,knc_odds_h
0,FC Everton,Newcastle United,TH,30.0,Premier League,2021-2022,2.4,3.25,3.1,Frank Lampard,Eddie Howe,H,0.32,0.26,0.42,3.12,3.85,2.38,H,0.3,0.29,0.41,3.33,3.45,2.44,H,0.3,0.29,0.41,3.33,3.45,2.44,H,0.3,0.34,0.37,3.33,2.94,2.7
1,US Sassuolo Calcio,Spezia Calcio,FR,30.0,Serie A,2021-2022,1.61,4.33,5.0,Alessio Dionisi,Thiago Motta,H,0.21,0.28,0.5,4.76,3.57,2.0,H,0.14,0.2,0.66,7.14,5.0,1.52,H,0.18,0.24,0.58,5.56,4.17,1.72,H,0.27,0.22,0.5,3.7,4.55,2.0
2,Wolverhampton Wanderers,Leeds United,FR,30.0,Premier League,2021-2022,2.15,3.5,3.3,Bruno Lage,Jesse Marsch,H,0.26,0.25,0.49,3.85,4.0,2.04,H,0.3,0.27,0.43,3.33,3.7,2.33,H,0.23,0.25,0.52,4.35,4.0,1.92,H,0.24,0.24,0.52,4.17,4.17,1.92
3,VfL Bochum,Borussia Mönchengladbach,FR,27.0,Bundesliga,2021-2022,3.0,3.5,2.29,Thomas Reis,Adi Hütter,D,0.27,0.38,0.35,3.7,2.63,2.86,H,0.31,0.34,0.34,3.23,2.94,2.94,H,0.29,0.3,0.41,3.45,3.33,2.44,H,0.27,0.3,0.43,3.7,3.33,2.33
4,CFC Genua,FC Turin,FR,30.0,Serie A,2021-2022,3.2,3.1,2.37,Alexander Blessin,Ivan Jurić,A,0.35,0.35,0.3,2.86,2.86,3.33,D,0.31,0.36,0.33,3.23,2.78,3.03,A,0.39,0.3,0.31,2.56,3.33,3.23,H,0.33,0.3,0.37,3.03,3.33,2.7
5,Athletic Bilbao,FC Getafe,FR,29.0,La Liga,2021-2022,1.72,3.4,5.5,Marcelino,Quique Flores,H,0.16,0.29,0.55,6.25,3.45,1.82,H,0.19,0.32,0.49,5.26,3.12,2.04,H,0.13,0.22,0.66,7.69,4.55,1.52,H,0.22,0.28,0.5,4.55,3.57,2.0
6,AS Saint-Étienne,ES Troyes AC,FR,29.0,Ligue 1,2021-2022,2.0,3.5,3.8,Pascal Dupraz,Bruno Irles,H,0.21,0.33,0.46,4.76,3.03,2.17,H,0.29,0.29,0.42,3.45,3.45,2.38,H,0.21,0.27,0.51,4.76,3.7,1.96,H,0.31,0.27,0.42,3.23,3.7,2.38
7,Aston Villa,FC Arsenal,SA,30.0,Premier League,2021-2022,3.0,3.4,2.4,Steven Gerrard,Mikel Arteta,H,0.33,0.29,0.38,3.03,3.45,2.63,A,0.39,0.25,0.36,2.56,4.0,2.78,H,0.35,0.28,0.37,2.86,3.57,2.7,H,0.34,0.26,0.4,2.94,3.85,2.5
8,Deportivo Alavés,FC Granada,SA,29.0,La Liga,2021-2022,2.0,3.3,4.0,José Luis Mendilíbar,Torrecilla,H,0.26,0.3,0.44,3.85,3.33,2.27,H,0.27,0.28,0.45,3.7,3.57,2.22,H,0.25,0.28,0.46,4.0,3.57,2.17,H,0.32,0.27,0.41,3.12,3.7,2.44
9,SSC Neapel,Udinese Calcio,SA,30.0,Serie A,2021-2022,1.44,4.5,7.0,Luciano Spalletti,Gabriele Cioffi,H,0.19,0.18,0.63,5.26,5.56,1.59,H,0.13,0.2,0.67,7.69,5.0,1.49,H,0.19,0.23,0.58,5.26,4.35,1.72,H,0.21,0.2,0.59,4.76,5.0,1.69
