,Home Team,Away Team,Day,Matchweek,Competition,Season,Home Odds,Deuce Odds,Away Odds,Home MA xG Last 3 Games Before Matchday,Away MA xG Last 3 Games Before Matchday,Home MA xG Against Last 3 Games Before Matchday,Away MA xG Against Last 3 Games Before Matchday,Home EWMA xG Last 3 Games Before Matchday,Away EWMA xG Last 3 Games Before Matchday,Home EWMA xG Against Last 3 Games Before Matchday,Away EWMA xG Against Last 3 Games Before Matchday,Home MA Possesion Last 3 Games Before Matchday,Away MA Possesion Last 3 Games Before Matchday,Home MA Possesion Against Last 3 Games Before Matchday,Away MA Possesion Against Last 3 Games Before Matchday,Home EWMA Possesion Last 3 Games Before Matchday,Away EWMA Possesion Last 3 Games Before Matchday,Home EWMA Possesion Against Last 3 Games Before Matchday,Away EWMA Possesion Against Last 3 Games Before Matchday,Home MA Goals Last 3 Games Before Matchday,Away MA Goals Last 3 Games Before Matchday,Home MA Goals Against Last 3 Games Before Matchday,Away MA Goals Against Last 3 Games Before Matchday,Home EWMA Goals Last 3 Games Before Matchday,Away EWMA Goals Last 3 Games Before Matchday,Home EWMA Goals Against Last 3 Games Before Matchday,Away EWMA Goals Against Last 3 Games Before Matchday,Home MA Team Shots Last 3 Games Before Matchday,Away MA Team Shots Last 3 Games Before Matchday,Home MA Team Shots Against Last 3 Games Before Matchday,Away MA Team Shots Against Last 3 Games Before Matchday,Home EWMA Team Shots Last 3 Games Before Matchday,Away EWMA Team Shots Last 3 Games Before Matchday,Home EWMA Team Shots Against Last 3 Games Before Matchday,Away EWMA Team Shots Against Last 3 Games Before Matchday,Home MA Team Shots on Target Last 3 Games Before Matchday,Away MA Team Shots on Target Last 3 Games Before Matchday,Home MA Team Shots on Target Against Last 3 Games Before Matchday,Away MA Team Shots on Target Against Last 3 Games Before Matchday,Home EWMA Team Shots on Target Last 3 Games Before Matchday,Away EWMA Team Shots on Target Last 3 Games Before Matchday,Home EWMA Team Shots on Target Against Last 3 Games Before Matchday,Away EWMA Team Shots on Target Against Last 3 Games Before Matchday,Home MA Team Fouls Committed Last 3 Games Before Matchday,Away MA Team Fouls Committed Last 3 Games Before Matchday,Home MA Team Fouls Committed Against Last 3 Games Before Matchday,Away MA Team Fouls Committed Against Last 3 Games Before Matchday,Home EWMA Team Fouls Committed Last 3 Games Before Matchday,Away EWMA Team Fouls Committed Last 3 Games Before Matchday,Home EWMA Team Fouls Committed Against Last 3 Games Before Matchday,Away EWMA Team Fouls Committed Against Last 3 Games Before Matchday,Home MA Team Corners Last 3 Games Before Matchday,Away MA Team Corners Last 3 Games Before Matchday,Home MA Team Corners Against Last 3 Games Before Matchday,Away MA Team Corners Against Last 3 Games Before Matchday,Home EWMA Team Corners Last 3 Games Before Matchday,Away EWMA Team Corners Last 3 Games Before Matchday,Home EWMA Team Corners Against Last 3 Games Before Matchday,Away EWMA Team Corners Against Last 3 Games Before Matchday,Home MA Team Yellow Cards Last 3 Games Before Matchday,Away MA Team Yellow Cards Last 3 Games Before Matchday,Home MA Team Yellow Cards Against Last 3 Games Before Matchday,Away MA Team Yellow Cards Against Last 3 Games Before Matchday,Home EWMA Team Yellow Cards Last 3 Games Before Matchday,Away EWMA Team Yellow Cards Last 3 Games Before Matchday,Home EWMA Team Yellow Cards Against Last 3 Games Before Matchday,Away EWMA Team Yellow Cards Against Last 3 Games Before Matchday,Home MA Team Red Cards Last 3 Games Before Matchday,Away MA Team Red Cards Last 3 Games Before Matchday,Home MA Team Red Cards Against Last 3 Games Before Matchday,Away MA Team Red Cards Against Last 3 Games Before Matchday,Home EWMA Team Red Cards Last 3 Games Before Matchday,Away EWMA Team Red Cards Last 3 Games Before Matchday,Home EWMA Team Red Cards Against Last 3 Games Before Matchday,Away EWMA Team Red Cards Against Last 3 Games Before Matchday,Home MA Points Last 3 Games Before Matchday,Away MA Points Last 3 Games Before Matchday,Home MA Points Against Last 3 Games Before Matchday,Away MA Points Against Last 3 Games Before Matchday,Home EWMA Points Last 3 Games Before Matchday,Away EWMA Points Last 3 Games Before Matchday,Home EWMA Points Against Last 3 Games Before Matchday,Away EWMA Points Against Last 3 Games Before Matchday,Home Coach,Away Coach,lrc,lrc_proba_a,lrc_proba_d,lrc_proba_h,rfc,rfc_proba_a,rfc_proba_d,rfc_proba_h,mlp,mlp_proba_a,mlp_proba_d,mlp_proba_h,knc,knc_proba_a,knc_proba_d,knc_proba_h,abc,abc_proba_a,abc_proba_d,abc_proba_h
0,VfL Wolfsburg,1. FSV Mainz 05,FR,31.0,Bundesliga,2021-2022,2.4,3.4,3.0,1.63,1.17,1.73,1.57,1.56,1.08,1.98,1.21,51.0,52.33,49.0,47.67,47.05,49.11,52.95,50.89,1.67,1.0,3.0,1.67,1.61,0.84,3.62,1.11,12.33,11.67,10.33,11.0,11.13,11.08,11.22,9.56,5.0,3.0,5.33,4.0,4.64,2.75,6.25,3.88,10.33,19.33,14.0,15.67,9.66,18.6,13.73,14.36,4.67,5.67,3.0,5.33,5.12,5.42,3.78,4.47,0.67,1.33,0.67,2.0,1.17,0.94,0.67,1.6,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1.0,0.33,2.0,2.33,0.81,0.67,2.18,1.76,Florian Kohfeldt,Bo Svensson,H,0.316045,0.302472,0.381483,H,0.297538,0.347784,0.354678,H,0.299008,0.319271,0.381721,H,0.325908,0.307672,0.36642,A,0.363218,0.282194,0.354588
1,1. FC Köln,Arminia Bielefeld,SA,31.0,Bundesliga,2021-2022,1.53,4.2,6.5,1.63,0.67,1.53,2.2,1.86,0.62,1.61,2.28,52.67,42.0,47.33,58.0,49.14,36.78,50.86,63.22,2.0,0.33,1.33,2.67,2.36,0.13,1.22,2.95,12.0,8.0,13.33,16.33,13.69,7.7,14.29,18.4,4.0,3.33,5.0,6.33,4.66,2.94,4.52,7.1,16.33,12.33,18.33,11.33,17.35,11.9,17.19,10.88,5.67,4.33,4.0,3.0,5.63,4.12,4.65,3.62,2.33,1.0,2.67,2.33,2.11,0.97,2.71,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.33,1.0,2.33,2.43,0.14,0.5,2.73,Steffen Baumgart,Frank Kramer,H,0.195339,0.238619,0.566042,H,0.136533,0.201524,0.661943,H,0.14839,0.22068,0.63093,H,0.1442,0.226326,0.629474,H,0.149999,0.224991,0.62501
2,AS Saint-Étienne,AS Monaco,SA,34.0,Ligue 1,2021-2022,4.2,3.8,1.83,1.0,1.83,1.9,1.23,0.91,2.0,1.52,1.12,49.0,46.67,51.0,53.33,48.57,46.09,51.43,53.91,2.0,2.0,3.0,1.0,1.93,1.73,2.3,0.71,11.0,13.33,12.0,12.0,9.86,14.4,11.0,13.58,3.33,4.67,7.33,2.33,2.84,5.44,6.53,2.66,15.33,15.33,15.0,9.0,15.4,16.23,14.71,9.42,4.67,5.67,3.33,5.67,4.45,5.51,4.29,7.22,3.67,3.33,3.0,1.67,3.86,3.66,3.44,1.64,0.33,0.0,0.0,0.0,0.13,0.01,0.0,0.0,1.33,3.0,1.33,0.0,1.33,2.93,1.12,0.06,Pascal Dupraz,Philippe Clement,A,0.422981,0.245991,0.331027,A,0.443343,0.284815,0.271842,A,0.455237,0.281912,0.262851,A,0.382227,0.293336,0.324437,A,0.465029,0.263801,0.27117
3,Eintracht Frankfurt,TSG 1899 Hoffenheim,SA,31.0,Bundesliga,2021-2022,2.54,3.6,2.62,1.03,1.1,0.8,1.37,0.82,0.93,0.99,1.09,59.0,55.0,41.0,45.0,55.53,55.56,44.47,44.44,0.33,0.33,1.33,1.67,0.38,0.2,1.57,1.23,15.67,11.33,10.0,12.67,12.84,12.0,12.04,10.47,4.67,3.33,3.33,3.67,3.73,2.7,3.99,2.99,10.33,14.33,11.0,12.33,10.61,15.97,10.09,12.86,4.67,5.33,2.67,3.0,3.74,6.47,3.42,2.18,1.0,2.67,1.33,2.0,1.33,2.66,1.74,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,2.33,2.33,0.33,0.62,2.48,1.85,Oliver Glasner,Sebastian Hoeneß,A,0.401184,0.230145,0.368671,H,0.339791,0.26836,0.391849,A,0.37039,0.269226,0.360384,H,0.286643,0.236033,0.477323,A,0.415104,0.279546,0.305349
4,FC Arsenal,Manchester United,SA,34.0,Premier League,2021-2022,2.1,3.5,3.3,2.07,1.0,0.6,1.33,2.07,0.85,0.71,1.53,57.33,51.67,42.67,48.33,51.08,43.61,48.92,56.39,1.67,1.0,1.67,2.33,2.19,0.94,1.73,2.82,19.0,11.33,9.33,12.0,16.77,8.88,9.64,13.18,4.67,4.67,2.67,4.0,4.41,3.87,2.58,4.36,8.0,7.67,10.67,4.33,7.66,7.41,8.74,4.4,6.67,5.0,4.67,7.33,4.24,3.99,5.1,8.03,1.67,1.33,3.0,1.0,1.36,1.48,2.64,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.64,0.93,1.36,1.99,Mikel Arteta,Ralf Rangnick,H,0.243717,0.228343,0.527941,H,0.200035,0.260009,0.539956,H,0.225873,0.233333,0.540794,H,0.193009,0.217615,0.589376,H,0.316909,0.284472,0.398619
5,FC Bayern München,Borussia Dortmund,SA,31.0,Bundesliga,2021-2022,1.36,5.75,7.0,2.0,1.83,0.53,1.17,2.14,2.15,0.64,1.23,67.33,60.67,32.67,39.33,69.87,59.2,30.13,40.8,2.67,3.0,0.33,1.67,2.58,3.78,0.19,1.08,19.33,10.67,7.33,11.0,20.08,11.16,7.61,10.37,8.0,4.67,2.33,3.67,7.79,5.73,2.64,3.34,9.0,9.0,15.33,9.0,9.8,10.94,13.89,9.5,4.33,5.33,3.0,5.0,4.16,4.74,3.67,5.37,1.33,1.33,1.33,1.67,1.57,0.97,1.36,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.9,2.48,0.05,0.45,Julian Nagelsmann,Marco Rose,H,0.195298,0.203716,0.600986,H,0.165936,0.193722,0.640342,H,0.162717,0.185301,0.651983,H,0.177984,0.208295,0.61372,H,0.097992,0.176699,0.725309
6,FC Brentford,Tottenham Hotspur,SA,34.0,Premier League,2021-2022,4.33,3.5,1.85,1.7,1.53,1.2,0.97,1.51,1.14,1.17,0.91,42.67,52.33,57.33,47.67,46.64,50.29,53.36,49.71,2.67,3.0,0.67,0.67,2.18,1.96,0.79,0.74,16.0,11.67,14.33,9.67,15.48,9.59,13.91,10.44,6.0,3.67,4.33,4.67,5.62,2.63,3.77,4.81,6.0,12.67,9.33,9.67,7.1,12.77,9.64,9.95,5.33,3.0,8.0,5.33,4.89,3.57,6.62,5.11,0.33,2.67,1.0,2.67,0.76,2.61,1.39,2.55,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,3.0,2.0,0.0,1.0,2.77,1.44,0.23,1.56,Thomas Frank,Antonio Conte,A,0.507111,0.178505,0.314384,A,0.377819,0.262478,0.359703,A,0.463493,0.237273,0.299234,H,0.298266,0.260285,0.44145,A,0.465029,0.263801,0.27117
7,FC Turin,Spezia Calcio,SA,34.0,Serie A,2021-2022,1.66,3.6,5.5,1.27,0.97,0.77,1.5,1.17,0.92,0.81,1.83,47.33,43.33,52.67,56.67,50.27,39.61,49.73,60.39,0.67,0.67,0.33,1.0,0.67,0.76,0.62,1.79,11.33,10.67,12.67,17.0,11.88,10.09,11.41,18.76,4.0,4.0,3.33,4.33,3.79,3.26,3.54,5.39,17.0,14.0,10.33,11.33,15.17,12.58,10.28,11.53,5.0,5.0,7.67,4.67,5.73,5.09,7.27,5.79,2.67,2.33,2.67,1.0,2.3,2.18,2.06,0.96,0.0,0.0,0.33,0.0,0.0,0.01,0.19,0.0,1.67,1.33,0.67,1.33,1.18,0.72,1.02,2.03,Ivan Jurić,Thiago Motta,H,0.196682,0.249066,0.554253,H,0.170005,0.238533,0.591461,H,0.156671,0.241855,0.601474,H,0.195111,0.261826,0.543063,H,0.123045,0.22833,0.648626
8,FC Venedig,Atalanta Bergamo,SA,34.0,Serie A,2021-2022,6.5,4.33,1.5,0.83,1.63,2.07,2.03,0.66,1.6,2.3,2.28,43.33,53.33,56.67,46.67,39.73,53.31,60.27,46.69,0.33,1.0,1.33,2.33,0.28,0.97,1.38,1.9,8.33,17.0,16.33,13.67,6.81,16.25,17.7,16.22,2.33,3.67,5.33,6.0,2.01,3.71,5.43,5.76,14.67,14.0,13.67,14.0,16.37,13.51,13.96,13.93,3.0,9.0,7.0,3.33,2.51,8.57,6.55,3.22,4.0,2.0,3.0,2.67,4.31,2.22,3.0,2.5,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.02,0.0,0.0,3.0,3.0,0.01,0.25,2.99,2.72,Paolo Zanetti,Gian Piero Gasperini,A,0.625071,0.223313,0.151616,A,0.587363,0.214657,0.197979,A,0.627113,0.220674,0.152213,A,0.478732,0.255873,0.265396,A,0.520862,0.247272,0.231866
9,Hellas Verona,Sampdoria Genua,SA,34.0,Serie A,2021-2022,1.75,3.75,4.75,1.73,0.57,1.67,1.37,2.1,0.72,1.72,1.15,47.33,54.33,52.67,45.67,47.74,57.8,52.26,42.2,1.0,0.33,1.0,1.67,1.28,0.68,1.16,1.78,12.33,7.33,14.0,10.67,14.99,6.98,15.0,10.55,4.0,2.0,4.67,2.33,4.55,1.87,4.35,2.47,12.0,14.67,12.67,15.67,12.11,15.3,12.63,18.64,1.67,3.0,8.33,4.0,1.88,3.62,8.61,3.47,2.33,1.67,2.67,3.67,2.45,1.38,2.53,4.6,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,2.0,0.0,1.0,3.0,1.99,0.2,0.93,2.8,Igor Tudor,Marco Giampaolo,H,0.268597,0.218171,0.513232,H,0.203117,0.272989,0.523894,H,0.202555,0.261564,0.53588,H,0.190947,0.26145,0.547603,H,0.193866,0.254849,0.551285
