,club_name,season,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_contract_valid_until,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
0,1. FC Köln,2017-2018,76.81,79.25,10568750.0,35000.0,25.56,183.31,79.19,2020.31,1.62,72.33,59.67,65.67,68.87,58.93,72.2,60.73,55.2,66.93,72.27,58.47,66.8,60.93,51.53,63.13,72.07,72.0,72.67,68.33,75.13,66.93,71.07,70.67,73.6,72.33,58.67,70.4,58.93,60.47,65.4,59.6,69.2,55.07,60.6,56.93,83,81,83,82,86,48.0
1,1. FC Köln,2019-2020,76.06,78.19,8737500.0,26000.0,26.62,182.0,76.25,2022.19,1.56,72.0,66.13,67.87,72.87,56.0,69.87,65.47,64.73,63.47,72.47,61.0,72.13,62.67,57.27,65.47,74.2,72.0,72.13,72.67,73.6,71.6,71.73,72.53,74.53,68.2,65.47,68.13,52.87,66.2,67.53,65.33,71.33,58.07,55.47,49.73,82,80,79,78,84,48.0
2,1. FC Köln,2020-2021,73.62,79.0,6600000.0,19937.5,24.44,184.12,77.62,2022.81,1.25,72.47,57.67,64.07,71.73,59.6,69.6,62.0,56.0,63.87,70.6,51.0,71.6,54.8,49.0,62.2,72.8,73.07,72.2,70.67,70.73,67.87,65.4,66.93,74.0,68.4,54.93,67.93,53.93,60.6,62.13,54.73,67.4,61.4,60.67,56.33,78,78,60,73,79,48.0
3,1. FC Köln,2021-2022,73.38,77.44,5218750.0,19625.0,25.19,183.94,76.81,2023.06,1.38,67.53,58.87,65.13,71.07,58.73,69.53,61.07,58.13,63.67,71.73,51.67,70.13,58.0,50.93,64.27,73.0,69.87,65.73,71.6,71.0,67.93,64.87,69.73,75.4,67.53,56.67,66.93,55.27,59.67,63.07,56.87,68.2,59.27,59.27,55.73,77,77,60,70,78,47.0
4,1. FC Nürnberg,2018-2019,70.81,75.0,2871875.0,13062.5,25.0,183.88,80.25,2020.31,1.12,67.73,53.93,60.53,65.27,57.47,70.6,56.8,49.47,63.87,67.27,48.07,63.53,52.13,43.4,57.8,67.6,66.53,68.73,64.67,67.33,64.8,64.47,69.2,69.4,72.8,55.6,66.73,55.53,54.87,61.07,48.53,64.8,55.73,58.73,55.27,74,68,66,74,77,45.0
5,1. FC Union Berlin,2019-2020,72.44,74.44,3550000.0,26062.5,27.62,186.81,82.25,2020.75,1.25,64.2,60.73,59.4,63.67,53.73,73.73,57.47,58.33,67.13,65.4,54.8,61.67,52.4,46.87,56.67,66.27,62.33,65.67,62.53,70.53,61.27,70.73,68.0,72.4,76.4,58.67,69.4,53.27,62.87,58.0,55.47,67.4,50.53,53.87,50.0,76,73,75,74,78,28.0
6,1. FC Union Berlin,2020-2021,71.44,75.62,4131250.0,19250.0,25.56,186.25,81.0,2022.06,1.12,65.67,59.6,61.8,64.6,54.8,71.33,60.47,59.13,64.73,67.33,51.73,63.0,57.93,43.6,62.13,65.93,66.27,65.0,65.33,69.53,64.47,66.53,66.0,72.73,73.13,56.4,66.07,51.27,60.13,59.07,54.8,66.07,53.73,55.87,51.0,71,63,58,61,68,26.0
7,1. FC Union Berlin,2021-2022,73.56,75.88,5187500.0,22437.5,26.69,185.19,79.69,2024.06,1.31,67.53,56.07,63.0,64.73,61.4,72.73,56.47,52.87,66.4,69.73,49.2,61.8,55.47,48.6,64.93,67.53,66.53,68.47,64.73,71.13,62.93,65.93,70.27,70.87,74.8,56.07,70.07,59.8,54.93,61.87,51.93,67.47,60.8,62.2,57.87,76,70,67,72,77,47.0
8,1. FSV Mainz 05,2017-2018,75.88,78.94,8343750.0,26250.0,25.75,181.62,77.5,2019.62,1.31,75.0,60.93,68.6,72.47,58.0,69.13,68.67,55.53,63.73,72.87,55.67,71.93,63.2,56.07,68.47,73.13,74.13,75.73,73.4,73.6,70.8,70.33,69.6,75.33,67.13,64.33,66.13,59.0,64.33,65.07,60.07,71.4,55.53,58.67,54.73,78,77,70,80,80,41.0
9,1. FSV Mainz 05,2018-2019,74.88,78.06,6825000.0,21875.0,25.62,183.5,78.94,2020.31,1.25,71.07,58.2,65.2,70.8,57.33,71.13,61.73,53.8,66.6,70.47,51.2,70.67,61.47,55.73,65.47,72.2,70.87,71.33,68.6,72.4,65.67,68.33,68.93,72.13,72.07,57.8,68.0,57.8,62.6,62.87,60.27,68.8,54.6,57.67,53.27,78,77,70,81,79,37.0
10,1. FSV Mainz 05,2019-2020,75.06,79.0,8000000.0,22687.5,24.69,184.56,79.12,2021.81,1.06,73.73,59.2,66.53,71.53,60.33,71.67,64.73,55.6,63.53,71.93,55.13,72.13,59.33,51.73,67.47,72.07,72.53,74.8,70.4,72.73,64.4,67.73,67.07,74.13,72.67,59.33,66.07,61.07,62.6,63.6,58.13,69.6,58.13,61.93,56.87,75,72,71,73,79,43.0
11,1. FSV Mainz 05,2020-2021,74.0,77.62,6212500.0,20750.0,25.06,183.69,79.56,2022.19,1.0,74.73,57.53,65.53,71.27,61.27,71.4,65.4,54.53,62.27,71.2,52.33,71.4,58.2,49.27,64.93,71.73,74.67,74.8,71.2,72.67,68.27,65.2,69.87,74.93,71.6,56.53,67.0,62.2,62.27,61.6,55.93,69.13,61.67,60.4,60.27,74,72,64,74,79,65.0
12,1. FSV Mainz 05,2021-2022,73.25,76.62,4887500.0,17687.5,25.0,184.06,79.38,2023.31,1.5,70.0,54.33,64.33,68.93,62.93,71.27,60.0,50.73,63.4,70.8,49.73,68.67,54.53,45.8,66.13,69.4,69.87,69.8,70.0,71.33,65.53,63.87,69.67,76.93,70.07,54.2,67.0,63.73,59.53,62.4,48.27,67.73,62.07,63.13,61.33,74,70,64,72,79,65.0
13,AC Florenz,2017-2018,77.38,81.88,11343750.0,55000.0,24.56,182.75,76.31,2019.94,1.69,70.6,62.0,65.07,71.07,58.0,71.53,59.6,58.13,65.6,71.67,56.0,69.93,60.4,51.8,65.8,74.13,69.87,71.0,68.27,74.0,63.93,71.0,69.27,74.4,72.07,63.07,66.93,57.4,64.8,62.87,58.0,72.07,55.2,59.0,56.07,80,76,68,77,81,43.0
14,AC Florenz,2018-2019,76.0,80.75,9550000.0,42500.0,24.19,182.88,76.88,2021.0,1.5,70.6,58.47,65.4,71.27,62.13,71.2,63.13,54.0,64.07,71.87,55.2,70.4,62.87,52.73,65.6,73.53,71.8,69.53,69.27,72.47,68.47,67.53,71.33,71.73,70.87,60.13,70.93,58.67,60.93,59.33,58.33,71.8,64.53,62.67,59.2,78,77,71,76,79,46.0
15,AC Florenz,2019-2020,75.81,80.12,9093750.0,40062.5,24.94,184.25,77.69,2021.75,1.5,67.2,59.33,66.4,70.8,66.93,73.0,62.2,54.13,65.27,73.47,54.93,69.73,61.6,49.0,68.0,73.8,68.2,66.27,67.4,73.53,67.6,69.13,70.8,71.93,73.47,63.2,74.0,64.67,60.67,61.87,54.27,72.8,70.07,66.93,63.93,71,69,70,72,76,44.0
16,AC Florenz,2020-2021,76.19,79.5,10793750.0,44937.5,26.19,182.56,75.62,2022.19,1.69,69.33,64.87,70.0,75.0,60.4,68.2,67.6,61.2,64.67,76.13,59.0,75.07,65.73,52.8,68.4,77.67,70.6,68.33,69.53,74.73,70.4,73.87,69.0,69.07,67.33,66.8,69.13,58.33,66.53,67.67,59.53,75.07,62.67,59.53,56.47,76,72,70,74,78,44.0
17,AC Florenz,2021-2022,76.81,79.75,12981250.0,50312.5,26.25,182.44,74.44,2023.19,1.81,73.13,65.93,71.0,75.8,62.4,69.87,70.2,62.47,67.53,76.07,60.53,75.33,66.53,54.87,69.13,78.47,72.33,73.8,73.47,73.67,72.33,73.13,69.8,73.8,67.93,68.2,69.93,61.0,67.6,69.8,61.87,74.93,62.27,62.13,59.8,79,73,70,77,80,44.0
18,AC Mailand,2017-2018,80.0,84.62,19218750.0,91250.0,24.56,183.69,76.5,2019.88,2.56,72.0,63.0,69.6,73.33,62.47,72.53,64.2,57.4,68.93,75.8,60.67,72.13,65.33,57.4,70.73,76.6,70.67,73.07,71.0,78.6,65.47,72.8,69.27,77.53,71.0,65.73,71.2,66.13,63.33,66.8,64.4,75.6,57.4,63.67,61.4,88,78,72,78,88,50.0
